,,DEPENDENT,TU,HH,PM,OMCM,HL,AV
,,-1,0,1,3,2,0,2.27
,,-1,0,0,0,2,-1,2.09
,,-1,0,1,0,2,0,2.09
,,-1,0,0,0,2,-1,11.75
,,-1,0,1,1,4,0,12
,,-1,0,0,1,2,-1,2.33
,,-1,0,0,2,2,0,3.19
,,-1,0,0,0,2,-1,10.91
,,-1,0,0,4,8,0,2.39
,,-1,0,0,2,4,-1,3.95
,,-1,0,0,0,2,-1,2.96
,,-1,0,0,3,4,-1,13.92
,,-1,0,1,3,2,-1,2.31
,,-1,0,1,2,2,0,2.32
,,-1,0,0,1,4,-1,2.65
,,-1,0,1,1,4,0,2.34
,,-1,0,1,1,2,1,2.99
,,-1,0,0,1,6,0,3.99
,,-1,0,0,4,4,1,7.28
,,-1,0,0,3,6,-1,5.99
,,-1,0,1,2,2,0,2.84
,,-1,0,1,1,4,0,3.17
,,-1,0,1,2,6,0,2.25
,,-1,0,0,2,2,-1,3.09
,,-1,0,1,3,6,1,2.35
,,-1,0,0,1,2,0,5
,,-1,0,1,3,2,-1,4.11
,,-1,0,0,0,4,-1,12.46
,,-1,0,1,3,2,0,2.97
,,-1,0,1,0,2,1,3.66
,,-1,0,1,3,2,-1,6.34
,,-1,0,0,0,4,-1,12.52
,,-1,0,0,0,4,-1,12.33
,,-1,0,1,2,2,1,3.28
,,-1,0,1,2,2,1,2.18
,,-1,0,1,2,2,0,3.93
,,-1,1,1,0,4,-1,2.85
,,-1,1,0,1,4,1,3.23
,,-1,1,1,1,2,1,16.84
,,-1,1,0,4,4,1,39
,,-1,1,0,2,8,0,2.57
,,-1,1,0,3,6,-1,4.04
,,-1,1,0,1,8,1,2.71
,,-1,1,0,1,2,0,2.51
,,-1,1,0,3,4,0,12.66
,,-1,1,0,3,4,-1,25.89
,,-1,1,1,1,2,1,7.53
,,-1,1,0,2,4,0,3.38
,,-1,1,1,1,2,0,2.26
,,-1,1,0,1,2,0,19.12
,,-1,1,1,1,2,1,7.15
,,-1,2,1,0,4,-1,2.59
,,-1,2,1,1,8,1,9.08
,,-1,2,0,1,4,1,27.74
,,-1,2,1,1,4,0,8.11
,,-1,2,1,0,8,0,2.58
,,-1,2,0,1,4,1,7.17
,,-1,2,0,1,4,0,3.34
,,-1,2,1,3,4,-1,2.51
,,-1,2,1,0,4,0,4.49
,,-1,2,1,0,4,0,2.33
,,-1,2,0,1,8,0,10.47
,,-1,2,1,1,2,0,2.73
,,-1,2,0,2,4,-1,3.16
,,-1,2,0,0,4,-1,12.7
,,-1,2,0,1,6,0,2.32
,,-1,2,0,1,8,0,10.56
,,-1,2,0,1,2,1,2.5
,,-1,2,1,1,4,0,6.13
,,-1,2,1,0,4,1,6.69
,,-1,1,1,1,2,0,
,,-1,0,1,0,4,1,3.03
,,-1,2,0,1,2,1,4.36
,,-1,2,1,0,6,0,3.64
,,-1,0,0,0,6,0,8.11
,,-1,2,1,3,2,1,2.1
,,-1,0,1,3,4,-1,43.4
,,-1,1,1,3,2,1,9.4
,,-1,0,0,2,2,-1,3.7
,,-1,2,0,2,4,0,8.01
,,-1,0,1,4,4,1,18.04
,,-1,1,1,2,6,1,2.26
,,-1,2,1,4,8,1,2.31
,,-1,2,1,1,4,-1,2.05
,,1,1,1,2,4,1,4.22
,,1,1,0,0,4,-1,7.02
,,1,2,1,4,4,-1,3.91
,,1,2,0,1,2,1,8.32
,,1,2,1,2,4,1,3.51
,,1,1,0,0,4,-1,14.01
,,1,2,1,1,8,1,2.3
,,1,0,1,1,4,-1,10.97
,,1,1,0,4,4,1,21.43
,,1,1,1,3,4,1,17.61
,,1,2,0,1,6,0,20
,,1,0,0,3,4,1,14.1
,,1,0,1,2,6,1,
,,1,2,1,2,4,1,3.1
,,1,0,1,3,4,1,13
,,1,2,1,3,4,0,28.75
